sp_type,wc_ratio,silica_fume,optimal_dosage,min_flow_time
SNF,0.41,7.14,0.46,8.57
PCE,0.4,15.0,0.45,10.0
PCE,0.4,5.0,0.35,6.0
SNF,0.37,15.0,0.65,6.73
PCE,0.41,0.0,0.31,4.87
SNF,0.42,0.0,0.38,6.37
SNF,0.36,3.74,0.47,8.5
PCE,0.45,10.96,0.36,6.79
PCE,0.45,14.96,0.4,8.02
PCE,0.45,15.0,0.4,8.0
PCE,0.4,2.39,0.35,5.48
PCE,0.38,15.0,0.47,10.0
PCE,0.35,0.0,0.3,7.0
SNF,0.45,7.42,0.4,6.0
SNF,0.35,10.0,0.55,12.0
SNF,0.39,1.8,0.46,7.28
PCE,0.43,0.0,0.25,4.66
PCE,0.39,11.06,0.38,6.85
SNF,0.4,15.0,0.65,5.01
PCE,0.45,11.68,0.37,6.01
SNF,0.35,0.0,0.5,8.0
SNF,0.42,3.25,0.43,6.7
SNF,0.42,2.66,0.4,6.6
PCE,0.38,15.0,0.47,10.0
SNF,0.4,15.0,0.65,5.0
SNF,0.35,6.63,0.53,10.65
SNF,0.37,10.0,0.52,12.16
SNF,0.4,5.08,0.45,8.02
SNF,0.35,5.0,0.5,9.0
SNF,0.38,8.31,0.47,11.32
PCE,0.4,5.02,0.35,5.98
PCE,0.45,4.99,0.3,4.98
PCE,0.35,15.0,0.5,10.0
PCE,0.35,3.22,0.34,7.64
SNF,0.42,9.43,0.49,6.89
SNF,0.4,9.98,0.45,12.47
SNF,0.42,8.22,0.43,10.19
PCE,0.45,5.51,0.28,4.78
PCE,0.45,5.0,0.3,5.0
PCE,0.37,2.45,0.32,6.51
SNF,0.45,14.98,0.55,5.48
PCE,0.43,9.08,0.36,7.04
SNF,0.35,8.28,0.53,10.97
SNF,0.4,5.0,0.45,8.0
SNF,0.42,5.0,0.43,7.24
SNF,0.42,10.0,0.43,10.29
SNF,0.41,0.0,0.41,6.22
PCE,0.4,10.0,0.35,6.0
PCE,0.45,4.86,0.26,5.63
PCE,0.41,8.58,0.34,5.72
PCE,0.43,2.37,0.27,5.21
SNF,0.38,6.25,0.47,8.25
SNF,0.4,10.0,0.45,12.5
PCE,0.35,10.01,0.35,10.01
SNF,0.35,14.97,0.65,8.0
SNF,0.43,3.49,0.38,7.62
SNF,0.35,10.27,0.58,8.47
SNF,0.4,8.54,0.52,6.94
SNF,0.4,0.0,0.4,7.0
SNF,0.39,11.31,0.56,7.26
PCE,0.35,5.0,0.45,8.0
SNF,0.45,5.0,0.4,6.0
SNF,0.4,8.96,0.45,11.57
PCE,0.45,10.0,0.35,5.0
PCE,0.35,0.0,0.3,7.02
PCE,0.35,10.0,0.35,10.0
SNF,0.42,13.32,0.55,7.69
PCE,0.4,15.0,0.45,10.0
SNF,0.35,4.99,0.5,8.98
PCE,0.36,3.88,0.43,7.33
PCE,0.42,8.43,0.37,6.72
SNF,0.36,7.56,0.54,7.97
SNF,0.43,2.85,0.4,6.43
SNF,0.4,0.04,0.4,7.01
SNF,0.37,1.22,0.48,7.51
SNF,0.45,10.02,0.4,5.99
PCE,0.4,0.0,0.35,5.01
PCE,0.38,8.41,0.4,7.36
SNF,0.38,11.77,0.6,6.29
PCE,0.35,6.61,0.42,8.64
PCE,0.35,14.88,0.5,10.0
PCE,0.39,0.0,0.26,6.1
SNF,0.4,3.46,0.43,7.69
PCE,0.37,6.83,0.41,7.27
SNF,0.45,4.96,0.4,6.02
PCE,0.43,5.6,0.29,6.55
SNF,0.38,7.74,0.47,10.91
PCE,0.4,9.98,0.35,6.03
SNF,0.43,4.35,0.39,8.26
PCE,0.35,7.16,0.46,8.43
SNF,0.35,0.0,0.5,7.99
PCE,0.4,0.0,0.35,5.0
PCE,0.45,10.39,0.34,6.93
SNF,0.35,15.0,0.65,8.0
PCE,0.45,0.0,0.2,4.5
SNF,0.45,15.0,0.55,5.5
PCE,0.35,4.89,0.45,7.99
SNF,0.45,0.0,0.35,5.01
SNF,0.42,0.0,0.38,6.27
PCE,0.45,0.03,0.2,4.49
PCE,0.42,11.5,0.4,8.25
SNF,0.45,10.0,0.4,6.0
SNF,0.39,5.66,0.46,8.96
SNF,0.43,11.15,0.51,6.46
SNF,0.45,0.0,0.35,5.0
PCE,0.45,9.94,0.35,4.98
PCE,0.4,3.69,0.35,5.74
SNF,0.35,10.09,0.55,12.01
